"Key","SourceString",""
"FFr_6437E3D6.DisplayName","Level 1 - Godfrey's Leaves His Home",""
"FFr_6437E3D6.Text","Nellie has passed away and given her plague to her brother Godfrey. He staggers outside his house trying to make sense of what has happened.",""
"FFr_29FFA6BF.DisplayName","Godfrey Meets Mrs Robertson",""
"FFr_29FFA6BF.Text","Godfrey meets Mrs Robertson. She asks for his help in gathering her some Tart Apples. In the process she leads him to his satchel.",""
"FFr_CA4E4DD5.DisplayName","Intro - Nellie And Godfrey",""
"FFr_CA4E4DD5.Text","Nellie and Godfrey plan to escape to help Nellie find the cure for the plague. But Nellie passes away and in doing so gives Godfrey the plague.",""
"DFr_353E7843.Text","Here take an Tap Apple for your troubles. They can hold back sickness for a time.",""
"DFr_41C08763.Text","Big picture? I think she wants to go to the city, start a life there. Write romance novels for anyone with a broken heart. I'll miss her when she goes.",""
"DFr_21144AAF.Text","*Bite your wobbling lip into a still submission*",""
"DFr_9ACA3418.Text","She's alive and well. Living her most best life. No need to ask anything else about that.",""
"DFr_C3368067.Text","Dear God! You look like four seasons of rain on a straw pillow. Stay away from me.",""
"DFr_3C34ED4C.Text","Here you are, enough to feed a horse. If you had a horse. Where's your horse?",""
"DFr_FEB2AF42.Text","Tap apples right?",""
"DFr_18F8E675.Text","I can't eat anymore! Take them away from me. What a little piggy I've been!",""
"DFr_1E2A37C5.Text","Took your time didn't you?",""
"DFr_2E4B0F21.Text","(Lie) Here's all of them. I promise. They're all right here. I promise. Have I said that already?",""
"DFr_3CDBFEC1.Text","I can't hold your hand the whole way through this. Bring me the Tap Apples.",""
"DFr_A323465A.Text","You're a good boy Godfrey. Your parents may have raised you a dullard, but at least the Lord intervened somewhere.",""
"DFr_2102B264.Text","If I pick these Tap Apples, will I get bad knees too?",""
"DFr_72D9CE7B.Text","Well I hope it was worth it. Heed my words though Godfrey... the Daevil may gift you some things, but he'll cetainly take other from you. Mind how you go. 

(end)",""
"DFr_6AEF0629.Text","I have! He keeps me warm at night.",""
"DFr_444EB3C5.Text","I'm sorry. I haven't eaten in a while and my tummy is the king of my body. I'm afraid if I ignore it it'll chop off my head.",""
"DFr_861FBA92.Text","My bed's not big enough. Plus it's mostly hay which just gets pushed around whilst I sleep.",""
"DFr_538F0B59.Text","You fucking what? You stole from a widow? Godfrey! Have you jumped into bed with the devil?!",""
"DFr_D3CFB5B0.Text","I can't say I'm a fan. Maybe my palette is more refined. I wouldn't know. Do you have anything more exquisite?",""
"DFr_AEE79BD7.Text","Jesus...",""
"DFr_C3E30FD2.Text","I wanted to ask about these shadows again. What do they want with us?",""
"DFr_C18584BB.Text","I need help with the farm you little cretin. What's wrong with you? Thank God for your sister. The only smart one out of you all. It's as if sweet Nellie got all the gifts of the womb and left you with the dregs.

How is she? Saw her with that Biggins boy yesterday.",""
"DFr_8BE064E1.Text","Pray you, aid me in fetching some Tap Apples if you think you can handle it. Our famous fruit puts hairs on yer chest, and blood in yer veins.

They've been holding off the plague this whole time.",""
